alarm_key|data_source_id|alarm_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|alarmcreationtime|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|lastmodifieddate|lastmodifiedtimestamp|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|l_minute|l_second|l_time_key|classname|category|displayname|location|description|source|eventtype|eventcount|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|timetoclose|count
55349|172.25.124.244|4043598|7|181188|1|Critical|5|Cleared|2015-08-22|2015-08-22 03:54:48|22|8|3|2015|34|2015|3|54|48|14089|2015-08-22|2015-08-22 03:54:48|22|8|3|2015|34|2015|3|54|48|14089|WiredWirelessAlarm|Switches and Hubs|Cisco_10.114.8.14(10.114.8.14)|Unknown|Device Cisco_10.114.8.14 value of Environment Temperature = 295 violated the set threshold: 80 - Automonitoring - Device Health |10.114.8.14|TV_ENV_TEMP|1|0|Unknown|TV_ENV_TEMP:Switches and Hubs(268438038):10.114.8.14:null:Environment Temperature:80:null:null:null:null:null:null:null:Automonitoring - Device Health |10.114.8.14|Wired Switch|0|Unknown|Unknown|181188_10.114.8.14|Cisco ME 3600X Series Ethernet Access Switches|Cisco ME 3600X-24FS-M Switch|Switches and Hubs|12.2(52)EY|10.114.8.14|Cisco_10.114.8.14|0|1
56393|172.25.124.244|4043598|7|181188|5|Cleared|1|Critical|2015-08-22|2015-08-22 03:54:48|22|8|3|2015|34|2015|3|54|48|14089|2015-08-22|2015-08-22 09:32:48|22|8|3|2015|34|2015|9|32|48|34369|WiredWirelessAlarm|Switches and Hubs|Cisco_10.114.8.14(10.114.8.14)|Unknown|Device Cisco_10.114.8.14 value of Environment Temperature = 161 violated the set threshold: 80 - Automonitoring - Device Health |10.114.8.14|TV_ENV_TEMP|1|0|Unknown|TV_ENV_TEMP:Switches and Hubs(268438038):10.114.8.14:null:Environment Temperature:80:null:null:null:null:null:null:null:Automonitoring - Device Health |10.114.8.14|Wired Switch|0|Unknown|Unknown|181188_10.114.8.14|Cisco ME 3600X Series Ethernet Access Switches|Cisco ME 3600X-24FS-M Switch|Switches and Hubs|12.2(52)EY|10.114.8.14|Cisco_10.114.8.14|20280|1
56790|172.25.124.244|4043494|0|9470515|5|Cleared|3|Minor|2015-08-22|2015-08-22 01:04:30|22|8|3|2015|34|2015|1|4|30|3871|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Adhoc Rogue|Adhoc Rogue64:27:37:7f:b3:ad|Unknown|Adhoc Rogue '64:27:37:7f:b3:ad' is no longer detected on the network. |RogueAp!64:27:37:7f:b3:ad|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!64:27:37:7f:b3:ad|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37352|1
56713|172.25.124.244|4043454|0|9470515|5|Cleared|3|Minor|2015-08-22|2015-08-22 01:25:30|22|8|3|2015|34|2015|1|25|30|5131|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Adhoc Rogue|Adhoc Rogue64:27:37:53:04:4b|Unknown|Adhoc Rogue '64:27:37:53:04:4b' is no longer detected on the network. |RogueAp!64:27:37:53:04:4b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!64:27:37:53:04:4b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36092|1
56778|172.25.124.244|4043486|0|9470515|5|Cleared|3|Minor|2015-08-22|2015-08-22 00:43:00|22|8|3|2015|34|2015|0|43|0|2581|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP 04:c5:a4:66:ef:e3|Unknown|Rogue AP '04:c5:a4:66:ef:e3' is no longer detected on the network. |RogueAp!04:c5:a4:66:ef:e3|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!04:c5:a4:66:ef:e3|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38642|1
56781|172.25.124.244|4043485|0|9470515|5|Cleared|3|Minor|2015-08-22|2015-08-22 00:53:30|22|8|3|2015|34|2015|0|53|30|3211|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP 04:c5:a4:66:ef:e2|Unknown|Rogue AP '04:c5:a4:66:ef:e2' is no longer detected on the network. |RogueAp!04:c5:a4:66:ef:e2|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!04:c5:a4:66:ef:e2|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38012|1
56764|172.25.124.244|4043295|0|9470513|5|Cleared|3|Minor|2015-08-22|2015-08-22 00:44:24|22|8|3|2015|34|2015|0|44|24|2665|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:ce|Unknown|Rogue AP 'c8:f9:f9:5a:f6:ce' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:ce|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:ce|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38558|1
56787|172.25.124.244|4043317|0|9470513|5|Cleared|3|Minor|2015-08-22|2015-08-22 01:04:54|22|8|3|2015|34|2015|1|4|54|3895|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7b|Unknown|Rogue AP '88:f0:31:47:b3:7b' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!88:f0:31:47:b3:7b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37328|1
56760|172.25.124.244|4043303|0|9470513|5|Cleared|3|Minor|2015-08-22|2015-08-22 00:36:53|22|8|3|2015|34|2015|0|36|53|2214|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:c0|Unknown|Rogue AP 'c8:f9:f9:5a:f6:c0' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:c0|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:c0|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|39009|1
56775|172.25.124.244|4043238|0|9470513|5|Cleared|3|Minor|2015-08-22|2015-08-22 01:08:24|22|8|3|2015|34|2015|1|8|24|4105|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0a:c9:2f|Unknown|Rogue AP 'f4:ea:67:0a:c9:2f' is no longer detected on the network. |RogueAp!f4:ea:67:0a:c9:2f|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0a:c9:2f|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37118|1
56776|172.25.124.244|4043240|0|9470513|5|Cleared|3|Minor|2015-08-22|2015-08-22 01:08:24|22|8|3|2015|34|2015|1|8|24|4105|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0a:c9:2d|Unknown|Rogue AP 'f4:ea:67:0a:c9:2d' is no longer detected on the network. |RogueAp!f4:ea:67:0a:c9:2d|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0a:c9:2d|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37118|1
56658|172.25.124.244|4043265|0|9470515|5|Cleared|3|Minor|2015-08-22|2015-08-22 01:14:30|22|8|3|2015|34|2015|1|14|30|4471|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0a:c6:23|Unknown|Rogue AP 'f4:ea:67:0a:c6:23' is no longer detected on the network. |RogueAp!f4:ea:67:0a:c6:23|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0a:c6:23|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36752|1
56659|172.25.124.244|4043370|0|9470515|5|Cleared|3|Minor|2015-08-22|2015-08-22 00:30:30|22|8|3|2015|34|2015|0|30|30|1831|2015-08-22|2015-08-22 11:27:02|22|8|3|2015|34|2015|11|27|2|41223|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0b:00:30|Unknown|Rogue AP 'f4:ea:67:0b:00:30' is no longer detected on the network. |RogueAp!f4:ea:67:0b:00:30|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0b:00:30|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|39392|1
