data_source_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|lastmodifieddate|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|classname|category|displayname|location|description|source|eventtype|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|meantimetoclose|maxtimetoclose|mintimetoclose|count
172.25.124.244|0|9470515|5|Cleared|3|Minor|2015-08-17|17|8|3|2015|34|2015|0|2015-08-17|17|8|3|2015|34|2015|19|RogueApAlert|Rogue AP|Rogue AP 00:18:0a:36:18:24|Unknown|Rogue AP '00:18:0a:36:18:24' is no longer detected on the network. |RogueAp!00:18:0a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!00:18:0a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|69453|69453|69453|1
172.25.124.244|0|9470513|5|Cleared|3|Minor|2015-08-17|17|8|3|2015|34|2015|0|2015-08-17|17|8|3|2015|34|2015|19|RogueApAlert|Rogue AP|Rogue AP 02:18:1a:36:18:24|Unknown|Rogue AP '02:18:1a:36:18:24' is no longer detected on the network. |RogueAp!02:18:1a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!02:18:1a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|69482|69482|69482|1
172.25.124.244|0|9470513|5|Cleared|5|Cleared|2015-08-17|17|8|3|2015|34|2015|0|2015-08-17|17|8|3|2015|34|2015|21|RogueApAlert|Rogue AP|Rogue AP 02:18:1a:36:18:24|Unknown|Rogue AP '02:18:1a:36:18:24' is no longer detected on the network. |RogueAp!02:18:1a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!02:18:1a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|76697|76697|76697|1
172.25.124.244|0|9470515|5|Cleared|5|Cleared|2015-08-17|17|8|3|2015|34|2015|0|2015-08-17|17|8|3|2015|34|2015|21|RogueApAlert|Rogue AP|Rogue AP 00:18:0a:36:18:24|Unknown|Rogue AP '00:18:0a:36:18:24' is no longer detected on the network. |RogueAp!00:18:0a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!00:18:0a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|76668|76668|76668|1
172.25.124.244|0|9470513|5|Cleared|5|Cleared|2015-08-17|17|8|3|2015|34|2015|0|2015-08-17|17|8|3|2015|34|2015|23|RogueApAlert|Rogue AP|Rogue AP 02:18:1a:36:18:24|Unknown|Rogue AP '02:18:1a:36:18:24' is no longer detected on the network. |RogueAp!02:18:1a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!02:18:1a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|83903|83903|83903|1
172.25.124.244|0|9470515|5|Cleared|5|Cleared|2015-08-17|17|8|3|2015|34|2015|0|2015-08-17|17|8|3|2015|34|2015|23|RogueApAlert|Rogue AP|Rogue AP 00:18:0a:36:18:24|Unknown|Rogue AP '00:18:0a:36:18:24' is no longer detected on the network. |RogueAp!00:18:0a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!00:18:0a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|83874|83874|83874|1
172.25.124.244|0|9470515|5|Cleared|3|Minor|2015-08-17|17|8|3|2015|34|2015|1|2015-08-17|17|8|3|2015|34|2015|21|RogueApAlert|Rogue AP|Rogue AP 0a:18:0a:36:18:24|Unknown|Rogue AP '0a:18:0a:36:18:24' is no longer detected on the network. |RogueAp!0a:18:0a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!0a:18:0a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|71298|71298|71298|1
172.25.124.244|0|9470515|5|Cleared|5|Cleared|2015-08-17|17|8|3|2015|34|2015|1|2015-08-17|17|8|3|2015|34|2015|23|RogueApAlert|Rogue AP|Rogue AP 0a:18:0a:36:18:24|Unknown|Rogue AP '0a:18:0a:36:18:24' is no longer detected on the network. |RogueAp!0a:18:0a:36:18:24|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!0a:18:0a:36:18:24|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|78504|78504|78504|1
172.25.124.244|0|9470513|5|Cleared|3|Minor|2015-08-17|17|8|3|2015|34|2015|2|2015-08-17|17|8|3|2015|34|2015|19|RogueApAlert|Rogue AP|Rogue AP 04:c5:a4:09:47:63|Unknown|Rogue AP '04:c5:a4:09:47:63' is no longer detected on the network. |RogueAp!04:c5:a4:09:47:63|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!04:c5:a4:09:47:63|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|58893|58893|58893|1
172.25.124.244|0|9470513|5|Cleared|3|Minor|2015-08-17|17|8|3|2015|34|2015|2|2015-08-17|17|8|3|2015|34|2015|19|RogueApAlert|Rogue AP|Rogue AP 04:c5:a4:09:47:61|Unknown|Rogue AP '04:c5:a4:09:47:61' is no longer detected on the network. |RogueAp!04:c5:a4:09:47:61|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!04:c5:a4:09:47:61|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|59103|59103|59103|1
