alarm_key|data_source_id|alarm_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|alarmcreationtime|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|lastmodifieddate|lastmodifiedtimestamp|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|l_minute|l_second|l_time_key|classname|category|displayname|location|description|source|eventtype|eventcount|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|timetoclose|count
14431|172.25.124.244|4043547|0|9470513|5|Cleared|3|Minor|2015-08-19|2015-08-19 08:02:17|19|8|3|2015|34|2015|8|2|17|28938|2015-08-19|2015-08-19 08:07:19|19|8|3|2015|34|2015|8|7|19|29240|WiredWirelessAlarm|AP|AP AP881d.fca9.3e78, Interface 802.11a/n/ac|Unknown|Interference changed to acceptable level on '802.11a/n/ac' interface of AP 'AP881d.fca9.3e78', connected to Controller '172.25.124.196'.  |LradIf!88:1d:fc:f5:cf:10!1|RADIO_LOAD_PROFILE_FAILED|1|0|Unknown|InterferenceProfile_LradIf!88:1d:fc:f5:cf:10!1|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|301|1
14478|172.25.124.244|4043548|0|9470515|3|Minor|5|Cleared|2015-08-19|2015-08-19 08:27:42|19|8|3|2015|34|2015|8|27|42|30463|2015-08-19|2015-08-19 08:27:42|19|8|3|2015|34|2015|8|27|42|30463|WiredWirelessAlarm|AP|AP APf4cf.e2ff.50bf, Interface 802.11b/g/n|Unknown|Noise threshold violation reported by '802.11b/g/n' interface  of AP 'APf4cf.e2ff.50bf', connected to Controller '172.25.124.196'. |LradIf!3c:5e:c3:61:a3:80!0|RADIO_LOAD_PROFILE_FAILED|1|0|Unknown|NoiseProfile_LradIf!3c:5e:c3:61:a3:80!0|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|1
14480|172.25.124.244|4043548|0|9470515|5|Cleared|3|Minor|2015-08-19|2015-08-19 08:27:42|19|8|3|2015|34|2015|8|27|42|30463|2015-08-19|2015-08-19 08:32:43|19|8|3|2015|34|2015|8|32|43|30764|WiredWirelessAlarm|AP|AP APf4cf.e2ff.50bf, Interface 802.11b/g/n|Unknown|Noise changed to acceptable level on '802.11b/g/n' interface of AP 'APf4cf.e2ff.50bf', connected to Controller '172.25.124.196'. |LradIf!3c:5e:c3:61:a3:80!0|RADIO_LOAD_PROFILE_FAILED|1|0|Unknown|NoiseProfile_LradIf!3c:5e:c3:61:a3:80!0|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|301|1
14998|172.25.124.244|4043511|0|9470513|5|Cleared|3|Minor|2015-08-19|2015-08-19 01:14:01|19|8|3|2015|34|2015|1|14|1|4442|2015-08-19|2015-08-19 11:21:46|19|8|3|2015|34|2015|11|21|46|40907|RogueApAlert|Adhoc Rogue|Adhoc Rogue04:f7:e4:0d:bf:68|Unknown|Adhoc Rogue '04:f7:e4:0d:bf:68' is no longer detected on the network. |RogueAp!04:f7:e4:0d:bf:68|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!04:f7:e4:0d:bf:68|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36465|1
14975|172.25.124.244|4043526|0|9470515|5|Cleared|3|Minor|2015-08-19|2015-08-19 01:03:02|19|8|3|2015|34|2015|1|3|2|3783|2015-08-19|2015-08-19 11:21:46|19|8|3|2015|34|2015|11|21|46|40907|RogueApAlert|Adhoc Rogue|Adhoc Rogue14:d6:4d:a9:88:67|Unknown|Adhoc Rogue '14:d6:4d:a9:88:67' is no longer detected on the network. |RogueAp!14:d6:4d:a9:88:67|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!14:d6:4d:a9:88:67|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37124|1
15098|172.25.124.244|4043308|0|9470513|5|Cleared|3|Minor|2015-08-19|2015-08-19 01:16:00|19|8|3|2015|34|2015|1|16|0|4561|2015-08-19|2015-08-19 11:21:46|19|8|3|2015|34|2015|11|21|46|40907|RogueApAlert|Rogue AP|Rogue AP f0:99:bf:09:54:f0|Unknown|Rogue AP 'f0:99:bf:09:54:f0' is no longer detected on the network. |RogueAp!f0:99:bf:09:54:f0|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f0:99:bf:09:54:f0|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36346|1
14987|172.25.124.244|4043497|0|9470513|5|Cleared|3|Minor|2015-08-19|2015-08-19 01:07:31|19|8|3|2015|34|2015|1|7|31|4052|2015-08-19|2015-08-19 11:21:46|19|8|3|2015|34|2015|11|21|46|40907|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0b:00:3d|Unknown|Rogue AP 'f4:ea:67:0b:00:3d' is no longer detected on the network. |RogueAp!f4:ea:67:0b:00:3d|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0b:00:3d|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36855|1
14986|172.25.124.244|4043459|0|9470513|5|Cleared|3|Minor|2015-08-19|2015-08-19 00:52:31|19|8|3|2015|34|2015|0|52|31|3152|2015-08-19|2015-08-19 11:21:46|19|8|3|2015|34|2015|11|21|46|40907|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0b:00:3e|Unknown|Rogue AP 'f4:ea:67:0b:00:3e' is no longer detected on the network. |RogueAp!f4:ea:67:0b:00:3e|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0b:00:3e|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37755|1
14971|172.25.124.244|4043282|0|9470513|5|Cleared|3|Minor|2015-08-19|2015-08-19 00:07:30|19|8|3|2015|34|2015|0|7|30|451|2015-08-19|2015-08-19 11:21:46|19|8|3|2015|34|2015|11|21|46|40907|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0a:ec:13|Unknown|Rogue AP 'f4:ea:67:0a:ec:13' is no longer detected on the network. |RogueAp!f4:ea:67:0a:ec:13|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0a:ec:13|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|40456|1
14965|172.25.124.244|4043280|0|9470513|5|Cleared|3|Minor|2015-08-19|2015-08-19 00:56:32|19|8|3|2015|34|2015|0|56|32|3393|2015-08-19|2015-08-19 11:21:46|19|8|3|2015|34|2015|11|21|46|40907|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0a:ec:11|Unknown|Rogue AP 'f4:ea:67:0a:ec:11' is no longer detected on the network. |RogueAp!f4:ea:67:0a:ec:11|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0a:ec:11|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37514|1
