alarm_key|data_source_id|alarm_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|alarmcreationtime|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|lastmodifieddate|lastmodifiedtimestamp|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|l_minute|l_second|l_time_key|classname|category|displayname|location|description|source|eventtype|eventcount|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|timetoclose|count
19635|172.25.124.244|4043566|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 00:57:32|20|8|3|2015|34|2015|0|57|32|3453|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Adhoc Rogue|Adhoc Rogue90:18:7c:41:49:bc|Unknown|Adhoc Rogue '90:18:7c:41:49:bc' is no longer detected on the network. |RogueAp!90:18:7c:41:49:bc|ADHOC_UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!90:18:7c:41:49:bc|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37601|1
19753|172.25.124.244|4043564|0|9470515|5|Cleared|3|Minor|2015-08-20|2015-08-20 01:16:32|20|8|3|2015|34|2015|1|16|32|4593|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Adhoc Rogue|Adhoc Rogue48:43:7c:7f:7a:53|Unknown|Adhoc Rogue '48:43:7c:7f:7a:53' is no longer detected on the network. |RogueAp!48:43:7c:7f:7a:53|ADHOC_UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!48:43:7c:7f:7a:53|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36461|1
19625|172.25.124.244|4043565|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 01:03:58|20|8|3|2015|34|2015|1|3|58|3839|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Adhoc Rogue|Adhoc Roguec8:85:50:f4:18:fb|Unknown|Adhoc Rogue 'c8:85:50:f4:18:fb' is no longer detected on the network. |RogueAp!c8:85:50:f4:18:fb|ADHOC_UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:85:50:f4:18:fb|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37215|1
19624|172.25.124.244|4043563|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 01:17:58|20|8|3|2015|34|2015|1|17|58|4679|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Adhoc Rogue|Adhoc Rogue24:77:03:d3:f6:98|Unknown|Adhoc Rogue '24:77:03:d3:f6:98' is no longer detected on the network. |RogueAp!24:77:03:d3:f6:98|ADHOC_UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!24:77:03:d3:f6:98|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36375|1
19664|172.25.124.244|4043454|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 01:08:27|20|8|3|2015|34|2015|1|8|27|4108|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Adhoc Rogue|Adhoc Rogue64:27:37:53:04:4b|Unknown|Adhoc Rogue '64:27:37:53:04:4b' is no longer detected on the network. |RogueAp!64:27:37:53:04:4b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!64:27:37:53:04:4b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36946|1
19745|172.25.124.244|4043542|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 01:11:58|20|8|3|2015|34|2015|1|11|58|4319|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Rogue AP|Rogue AP 08:cc:68:b9:b5:7b|Unknown|Rogue AP '08:cc:68:b9:b5:7b' is no longer detected on the network. |RogueAp!08:cc:68:b9:b5:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!08:cc:68:b9:b5:7b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36735|1
19701|172.25.124.244|4043200|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 01:14:58|20|8|3|2015|34|2015|1|14|58|4499|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Rogue AP|Rogue AP d0:c7:89:26:21:3b|Unknown|Rogue AP 'd0:c7:89:26:21:3b' is no longer detected on the network. |RogueAp!d0:c7:89:26:21:3b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!d0:c7:89:26:21:3b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36555|1
19700|172.25.124.244|4043065|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 00:38:03|20|8|3|2015|34|2015|0|38|3|2284|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Rogue AP|Rogue AP 00:3a:99:67:72:3b|Unknown|Rogue AP '00:3a:99:67:72:3b' is no longer detected on the network. |RogueAp!00:3a:99:67:72:3b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!00:3a:99:67:72:3b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38770|1
19734|172.25.124.244|4043562|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 00:41:33|20|8|3|2015|34|2015|0|41|33|2494|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7f|Unknown|Rogue AP '88:f0:31:47:b3:7f' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7f|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!88:f0:31:47:b3:7f|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38560|1
19723|172.25.124.244|4043317|0|9470513|5|Cleared|3|Minor|2015-08-20|2015-08-20 00:41:33|20|8|3|2015|34|2015|0|41|33|2494|2015-08-20|2015-08-20 11:24:13|20|8|3|2015|34|2015|11|24|13|41054|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7b|Unknown|Rogue AP '88:f0:31:47:b3:7b' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!88:f0:31:47:b3:7b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38560|1
