alarm_key|data_source_id|alarm_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|alarmcreationtime|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|lastmodifieddate|lastmodifiedtimestamp|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|l_minute|l_second|l_time_key|classname|category|displayname|location|description|source|eventtype|eventcount|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|timetoclose|count
23154|172.25.124.244|4043581|10|181192|1|Critical|5|Cleared|2015-08-21|2015-08-21 05:12:48|21|8|3|2015|34|2015|5|12|48|18769|2015-08-21|2015-08-21 05:12:48|21|8|3|2015|34|2015|5|12|48|18769|WiredWirelessAlarm|Routers|Cisco_10.114.2.3(10.114.2.3)|Unknown|Device Cisco_10.114.2.3/CPU of Switching Processor 5: value of CPU Utilization = 115 violated the set threshold: 90 - Automonitoring - Device Health |10.114.2.3|TV_CPU_UTILIZATION|1|0|Unknown|TV_CPU_UTILIZATION:Routers(268437899):10.114.2.3:CPU of Switching Processor 5:CPU Utilization:90:null:null:null:null:null:null:null:Automonitoring - Device Health |10.114.2.3|Wired Switch|0|Unknown|Unknown|181192_10.114.2.3|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.3|Cisco_10.114.2.3|0|1
23346|172.25.124.244|4043581|10|181192|5|Cleared|1|Critical|2015-08-21|2015-08-21 05:12:48|21|8|3|2015|34|2015|5|12|48|18769|2015-08-21|2015-08-21 05:58:48|21|8|3|2015|34|2015|5|58|48|21529|WiredWirelessAlarm|Routers|Cisco_10.114.2.3(10.114.2.3)|Unknown|Device Cisco_10.114.2.3/CPU of Switching Processor 5: value of CPU Utilization = 376 violated the set threshold: 90 - Automonitoring - Device Health |10.114.2.3|TV_CPU_UTILIZATION|1|0|Unknown|TV_CPU_UTILIZATION:Routers(268437899):10.114.2.3:CPU of Switching Processor 5:CPU Utilization:90:null:null:null:null:null:null:null:Automonitoring - Device Health |10.114.2.3|Wired Switch|0|Unknown|Unknown|181192_10.114.2.3|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.3|Cisco_10.114.2.3|2759|1
24484|172.25.124.244|4043454|0|9470513|5|Cleared|3|Minor|2015-08-21|2015-08-21 00:44:25|21|8|3|2015|34|2015|0|44|25|2666|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Adhoc Rogue|Adhoc Rogue64:27:37:53:04:4b|Unknown|Adhoc Rogue '64:27:37:53:04:4b' is no longer detected on the network. |RogueAp!64:27:37:53:04:4b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!64:27:37:53:04:4b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38467|1
24422|172.25.124.244|4043282|0|9470513|5|Cleared|3|Minor|2015-08-21|2015-08-21 01:10:55|21|8|3|2015|34|2015|1|10|55|4256|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0a:ec:13|Unknown|Rogue AP 'f4:ea:67:0a:ec:13' is no longer detected on the network. |RogueAp!f4:ea:67:0a:ec:13|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0a:ec:13|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36877|1
24416|172.25.124.244|4043499|0|9470513|5|Cleared|3|Minor|2015-08-21|2015-08-21 01:07:56|21|8|3|2015|34|2015|1|7|56|4077|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Rogue AP|Rogue AP 00:3a:98:08:77:6b|Unknown|Rogue AP '00:3a:98:08:77:6b' is no longer detected on the network. |RogueAp!00:3a:98:08:77:6b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!00:3a:98:08:77:6b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37056|1
24543|172.25.124.244|4043452|0|9470513|5|Cleared|3|Minor|2015-08-21|2015-08-21 01:12:56|21|8|3|2015|34|2015|1|12|56|4377|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Rogue AP|Rogue AP 08:cc:68:da:36:3b|Unknown|Rogue AP '08:cc:68:da:36:3b' is no longer detected on the network. |RogueAp!08:cc:68:da:36:3b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!08:cc:68:da:36:3b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36756|1
24469|172.25.124.244|4043176|0|9470513|5|Cleared|3|Minor|2015-08-21|2015-08-21 01:10:26|21|8|3|2015|34|2015|1|10|26|4227|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:13:14:9c|Unknown|Rogue AP 'f4:ea:67:13:14:9c' is no longer detected on the network. |RogueAp!f4:ea:67:13:14:9c|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:13:14:9c|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36906|1
24427|172.25.124.244|4043584|0|9470515|5|Cleared|3|Minor|2015-08-21|2015-08-21 01:20:31|21|8|3|2015|34|2015|1|20|31|4832|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Rogue AP|Rogue AP cc:ef:48:41:5a:32|Unknown|Rogue AP 'cc:ef:48:41:5a:32' is no longer detected on the network. |RogueAp!cc:ef:48:41:5a:32|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!cc:ef:48:41:5a:32|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36301|1
24442|172.25.124.244|4043497|0|9470513|5|Cleared|3|Minor|2015-08-21|2015-08-21 01:09:26|21|8|3|2015|34|2015|1|9|26|4167|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0b:00:3d|Unknown|Rogue AP 'f4:ea:67:0b:00:3d' is no longer detected on the network. |RogueAp!f4:ea:67:0b:00:3d|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0b:00:3d|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36966|1
24494|172.25.124.244|4043506|0|9470513|5|Cleared|3|Minor|2015-08-21|2015-08-21 01:08:56|21|8|3|2015|34|2015|1|8|56|4137|2015-08-21|2015-08-21 11:25:32|21|8|3|2015|34|2015|11|25|32|41133|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5b:0c:3e|Unknown|Rogue AP 'c8:f9:f9:5b:0c:3e' is no longer detected on the network. |RogueAp!c8:f9:f9:5b:0c:3e|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5b:0c:3e|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36996|1
24919|172.25.124.244|4043452|0|9470513|5|Cleared|5|Cleared|2015-08-21|2015-08-21 01:12:56|21|8|3|2015|34|2015|1|12|56|4377|2015-08-21|2015-08-21 13:25:38|21|8|3|2015|34|2015|13|25|38|48339|RogueApAlert|Rogue AP|Rogue AP 08:cc:68:da:36:3b|Unknown|Rogue AP '08:cc:68:da:36:3b' is no longer detected on the network. |RogueAp!08:cc:68:da:36:3b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!08:cc:68:da:36:3b|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|43962|1
24822|172.25.124.244|4043480|0|9470515|5|Cleared|3|Minor|2015-08-21|2015-08-21 03:13:01|21|8|3|2015|34|2015|3|13|1|11582|2015-08-21|2015-08-21 13:25:38|21|8|3|2015|34|2015|13|25|38|48339|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:13:14:92|Unknown|Rogue AP 'f4:ea:67:13:14:92' is no longer detected on the network. |RogueAp!f4:ea:67:13:14:92|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:13:14:92|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36757|1
