alarm_key|data_source_id|alarm_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|alarmcreationtime|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|lastmodifieddate|lastmodifiedtimestamp|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|l_minute|l_second|l_time_key|classname|category|displayname|location|description|source|eventtype|eventcount|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|timetoclose|count
7297|172.25.124.244|4043056|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/1/0|10.114.8.5|Wired Switch|3751946|managementAddress=10.114.8.5:ifIndex=2|TenGigabitEthernet0/1/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|1
7299|172.25.124.244|4043054|0|4771782|3|Minor|5|Cleared|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Device '10.114.8.5'. Authentication failed for request from 'Unknown'.|10.114.8.5|SWT_AUTH_FAIL|1|0|Unknown|SWT_AUTH_FAIL:10.114.8.5:|10.114.8.5|Wired Switch|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|1
7302|172.25.124.244|4043056|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:28:17|17|8|3|2015|34|2015|13|28|17|48498|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/1/0|10.114.8.5|Wired Switch|3751946|managementAddress=10.114.8.5:ifIndex=2|TenGigabitEthernet0/1/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|600|1
7300|172.25.124.244|4043055|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:28:17|17|8|3|2015|34|2015|13|28|17|48498|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/0/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/0/0|10.114.8.5|Wired Switch|3751945|managementAddress=10.114.8.5:ifIndex=1|TenGigabitEthernet0/0/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|600|1
7317|172.25.124.244|4043056|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:33:17|17|8|3|2015|34|2015|13|33|17|48798|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/1/0|10.114.8.5|Wired Switch|3751946|managementAddress=10.114.8.5:ifIndex=2|TenGigabitEthernet0/1/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|900|1
7316|172.25.124.244|4043055|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:33:17|17|8|3|2015|34|2015|13|33|17|48798|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/0/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/0/0|10.114.8.5|Wired Switch|3751945|managementAddress=10.114.8.5:ifIndex=1|TenGigabitEthernet0/0/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|900|1
7341|172.25.124.244|4043056|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:38:17|17|8|3|2015|34|2015|13|38|17|49098|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/1/0|10.114.8.5|Wired Switch|3751946|managementAddress=10.114.8.5:ifIndex=2|TenGigabitEthernet0/1/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1200|1
7337|172.25.124.244|4043055|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:38:17|17|8|3|2015|34|2015|13|38|17|49098|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/0/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/0/0|10.114.8.5|Wired Switch|3751945|managementAddress=10.114.8.5:ifIndex=1|TenGigabitEthernet0/0/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1200|1
7362|172.25.124.244|4043056|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:48:17|17|8|3|2015|34|2015|13|48|17|49698|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/1/0|10.114.8.5|Wired Switch|3751946|managementAddress=10.114.8.5:ifIndex=2|TenGigabitEthernet0/1/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1800|1
7360|172.25.124.244|4043055|0|4771782|5|Cleared|1|Critical|2015-08-17|2015-08-17 13:18:16|17|8|3|2015|34|2015|13|18|16|47897|2015-08-17|2015-08-17 13:48:17|17|8|3|2015|34|2015|13|48|17|49698|WiredWirelessAlarm|Routers|Cisco_10.114.8.5|Unknown|Port 'TenGigabitEthernet0/0/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_DOWN|1|0|Unknown|LINK_DOWN:10.114.8.5:If: TenGigabitEthernet0/0/0|10.114.8.5|Wired Switch|3751945|managementAddress=10.114.8.5:ifIndex=1|TenGigabitEthernet0/0/0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1800|1
