0|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|1|\N|\N
1|172.25.124.232|1|186189|181182|Module|module 2|WS-SVC-MWAM-1 3 ports MWAM Module Rev. 3.0|181182_10.114.8.2|Module|cevCat6kMWAMBlade|Cisco Systems|SAD081000GR|WS-SVC-MWAM-1|Unknown|Unknown|ok|0|3|0|\N|1|1899-12-31|2199-12-31
2|172.25.124.232|1|186192|181182|Module|module 4|WS-X6148-RJ45V 48-port 10/100 mb RJ45 Rev. 3.0|181182_10.114.8.2|Module|cevCat6kWsx6148Rj45|Cisco Systems|SAL08207P78|WS-X6148-RJ45V|Unknown|Unknown|ok|0|48|0|\N|1|1899-12-31|2199-12-31
3|172.25.124.232|1|186194|181182|Module|sub-module of 4|WS-F6k-PWR Inline Power Module Rev. 2.0|181182_10.114.8.2|Module|cevCat6kWsf6kVpwr|Unknown|Unknown|Unknown|Unknown|Unknown|missing|0|0|0|\N|1|1899-12-31|2199-12-31
4|172.25.124.232|1|186196|181182|Module|module 5|WS-SUP720-3B 2 ports Supervisor Engine 720 Rev. 5.3|181182_10.114.8.2|Module|cevCat6kWsSup720Base|Cisco Systems|SAL1104F8H1|WS-SUP720-3B|V03|Unknown|ok|0|2|0|\N|1|1899-12-31|2199-12-31
5|172.25.124.232|1|186198|181182|Module|msfc sub-module of 5|WS-SUP720 MSFC3 Daughterboard Rev. 2.6|181182_10.114.8.2|Module|cevCat6kWsSup720|Cisco Systems|SAL1104F9KU|WS-SUP720|Unknown|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
6|172.25.124.232|1|186199|181182|Module|CPU of Routing Processor 5|CPU of Routing Processor|181182_10.114.8.2|Module|cevCpuCat6kWsSup720RP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
7|172.25.124.232|1|186201|181182|Module|switching engine sub-module of 5|WS-F6K-PFC3B Policy Feature Card 3 Rev. 2.3|181182_10.114.8.2|Module|cevCat6kWsf6kpfc3b|Cisco Systems|SAL1104F9TX|WS-F6K-PFC3B|V01|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
8|172.25.124.232|1|186202|181182|Module|CPU of Switching Processor 5|CPU of Switching Processor|181182_10.114.8.2|Module|cevCpuCat6kWsSup720SP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
9|172.25.124.232|1|186205|181182|Module|module 7|WS-SVC-AON-1-K9 3 ports AON Module Rev. 2.0|181182_10.114.8.2|Module|zeroDotZero|Cisco Systems|SAD10300548|WS-SVC-AON-1-K9|V02|Unknown|other|0|0|0|\N|1|1899-12-31|2199-12-31
10|172.25.124.232|1|186207|181182|Module|module 8|WS-SVC-FWM-1 6 ports Firewall Module Rev. 3.0|181182_10.114.8.2|Module|cevCat6kWsSvcFwm1|Cisco Systems|SAD08330EVK|WS-SVC-FWM-1|Unknown|Unknown|ok|0|6|0|\N|1|1899-12-31|2199-12-31
11|172.25.124.232|1|186211|181182|Module|WS-C6K-VTT 1|VTT FRU 1|181182_10.114.8.2|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302XG|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
12|172.25.124.232|1|186213|181182|Module|WS-C6K-VTT 2|VTT FRU 2|181182_10.114.8.2|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302JW|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
13|172.25.124.232|1|186215|181182|Module|WS-C6K-VTT 3|VTT FRU 3|181182_10.114.8.2|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302YF|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
14|172.25.124.232|1|186217|181182|Module|CLK-7600 1|OSR-7600 Clock FRU 1|181182_10.114.8.2|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
15|172.25.124.232|1|186219|181182|Module|CLK-7600 2|OSR-7600 Clock FRU 2|181182_10.114.8.2|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
16|172.25.124.232|2|186233|181183|Module|switching engine sub-module of 5|WS-F6K-PFC3B Policy Feature Card 3 Rev. 2.3|181183_10.114.8.3|Module|cevCat6kWsf6kpfc3b|Cisco Systems|SAL1104F9TX|WS-F6K-PFC3B|V01|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
17|172.25.124.232|2|186235|181183|Module|WS-C6K-VTT 3|VTT FRU 3|181183_10.114.8.3|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302YF|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
18|172.25.124.232|2|186237|181183|Module|WS-C6K-VTT 2|VTT FRU 2|181183_10.114.8.3|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302JW|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
19|172.25.124.232|2|186239|181183|Module|WS-C6K-VTT 1|VTT FRU 1|181183_10.114.8.3|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302XG|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
20|172.25.124.232|2|186248|181183|Module|msfc sub-module of 5|WS-SUP720 MSFC3 Daughterboard Rev. 2.6|181183_10.114.8.3|Module|cevCat6kWsSup720|Cisco Systems|SAL1104F9KU|WS-SUP720|Unknown|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
21|172.25.124.232|2|186249|181183|Module|CPU of Routing Processor 5|CPU of Routing Processor|181183_10.114.8.3|Module|cevCpuCat6kWsSup720RP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
22|172.25.124.232|2|186252|181183|Module|CLK-7600 1|OSR-7600 Clock FRU 1|181183_10.114.8.3|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
23|172.25.124.232|2|186254|181183|Module|CLK-7600 2|OSR-7600 Clock FRU 2|181183_10.114.8.3|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
24|172.25.124.232|2|186259|181183|Module|module 2|WS-SVC-MWAM-1 3 ports MWAM Module Rev. 3.0|181183_10.114.8.3|Module|cevCat6kMWAMBlade|Cisco Systems|SAD081000GR|WS-SVC-MWAM-1|Unknown|Unknown|ok|0|3|0|\N|1|1899-12-31|2199-12-31
25|172.25.124.232|2|186260|181183|Module|sub-module of 4|WS-F6k-PWR Inline Power Module Rev. 2.0|181183_10.114.8.3|Module|cevCat6kWsf6kVpwr|Unknown|Unknown|Unknown|Unknown|Unknown|missing|0|0|0|\N|1|1899-12-31|2199-12-31
26|172.25.124.232|2|186261|181183|Module|module 5|WS-SUP720-3B 2 ports Supervisor Engine 720 Rev. 5.3|181183_10.114.8.3|Module|cevCat6kWsSup720Base|Cisco Systems|SAL1104F8H1|WS-SUP720-3B|V03|Unknown|ok|0|2|0|\N|1|1899-12-31|2199-12-31
27|172.25.124.232|2|186262|181183|Module|CPU of Switching Processor 5|CPU of Switching Processor|181183_10.114.8.3|Module|cevCpuCat6kWsSup720SP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
28|172.25.124.232|2|186263|181183|Module|module 4|WS-X6148-RJ45V 48-port 10/100 mb RJ45 Rev. 3.0|181183_10.114.8.3|Module|cevCat6kWsx6148Rj45|Cisco Systems|SAL08207P78|WS-X6148-RJ45V|Unknown|Unknown|ok|0|48|0|\N|1|1899-12-31|2199-12-31
