data_source_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|lastmodifieddate|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|classname|category|displayname|location|description|source|eventtype|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|meantimetoclose|maxtimetoclose|mintimetoclose|sumtimetoclose|count
172.25.124.232|0|185344|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|0|2015-08-27|27|8|3|2015|35|2015|6|RogueApAlert|Rogue AP|Rogue AP 08:cc:68:b9:61:7b|Unknown|Rogue AP '08:cc:68:b9:61:7b' is no longer detected on the network. |RogueAp!08:cc:68:b9:61:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!08:cc:68:b9:61:7b|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|23263|23263|23263|23263|1
172.25.124.232|0|185344|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7f|Unknown|Rogue AP '88:f0:31:47:b3:7f' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7f|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!88:f0:31:47:b3:7f|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12116|12116|12116|12116|1
172.25.124.232|0|185342|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7b|Unknown|Rogue AP '88:f0:31:47:b3:7b' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!88:f0:31:47:b3:7b|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12116|12116|12116|12116|1
172.25.124.232|0|185342|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP 04:c5:a4:66:ef:ed|Unknown|Rogue AP '04:c5:a4:66:ef:ed' is no longer detected on the network. |RogueAp!04:c5:a4:66:ef:ed|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!04:c5:a4:66:ef:ed|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11922|11922|11922|11922|1
172.25.124.232|0|185344|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:29:d3:d1|Unknown|Rogue AP 'c8:f9:f9:29:d3:d1' is no longer detected on the network. |RogueAp!c8:f9:f9:29:d3:d1|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!c8:f9:f9:29:d3:d1|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12387|12387|12387|12387|1
172.25.124.232|0|185342|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0b:59:a2|Unknown|Rogue AP 'f4:ea:67:0b:59:a2' is no longer detected on the network. |RogueAp!f4:ea:67:0b:59:a2|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!f4:ea:67:0b:59:a2|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11383|11383|11383|11383|1
172.25.124.232|0|185344|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:13:14:9f|Unknown|Rogue AP 'f4:ea:67:13:14:9f' is no longer detected on the network. |RogueAp!f4:ea:67:13:14:9f|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!f4:ea:67:13:14:9f|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|13766|13766|13766|13766|1
172.25.124.232|0|185342|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:cc|Unknown|Rogue AP 'c8:f9:f9:5a:f6:cc' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:cc|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!c8:f9:f9:5a:f6:cc|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12972|12972|12972|12972|1
172.25.124.232|0|185342|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:ce|Unknown|Rogue AP 'c8:f9:f9:5a:f6:ce' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:ce|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!c8:f9:f9:5a:f6:ce|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11562|11562|11562|11562|1
172.25.124.232|0|185342|5|Cleared|3|Minor|2015-08-27|27|8|3|2015|35|2015|1|2015-08-27|27|8|3|2015|35|2015|4|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:cd|Unknown|Rogue AP 'c8:f9:f9:5a:f6:cd' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:cd|UNCLASSIFIED_ROGUE_AP_DETECTED|0|Unknown|RogueAp!c8:f9:f9:5a:f6:cd|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11562|11562|11562|11562|1
