25|187211|172.25.124.244|181181_10.114.8.1|3|GigabitEthernet2/3|GigabitEthernet2/3@Cisco_10.114.8.1|Unknown|1000000000|6|00:0e:84:80:00:06|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
26|187212|172.25.124.244|181181_10.114.8.1|4|FastEthernet4/1|FastEthernet4/1@Cisco_10.114.8.1|Unknown|100000000|6|00:11:21:0c:57:c0|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
27|187213|172.25.124.244|181181_10.114.8.1|62|Null0|Null0@Cisco_10.114.8.1|Unknown|1000000000|1|\N|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
28|187214|172.25.124.244|181181_10.114.8.1|58|GigabitEthernet8/5|GigabitEthernet8/5@Cisco_10.114.8.1|Unknown|1000000000|6|00:01:c9:df:05:f8|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
29|187215|172.25.124.244|181181_10.114.8.1|59|GigabitEthernet8/6|GigabitEthernet8/6@Cisco_10.114.8.1|Unknown|1000000000|6|00:01:c9:df:05:f9|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
30|187216|172.25.124.244|181181_10.114.8.1|55|GigabitEthernet8/2|GigabitEthernet8/2@Cisco_10.114.8.1|Unknown|1000000000|6|00:01:c9:df:05:f5|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
31|187217|172.25.124.244|181181_10.114.8.1|54|GigabitEthernet8/1|GigabitEthernet8/1@Cisco_10.114.8.1|Unknown|1000000000|6|00:01:c9:df:05:f4|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
32|187218|172.25.124.244|181181_10.114.8.1|57|GigabitEthernet8/4|GigabitEthernet8/4@Cisco_10.114.8.1|Unknown|1000000000|6|00:01:c9:df:05:f7|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
33|187219|172.25.124.244|181181_10.114.8.1|56|GigabitEthernet8/3|GigabitEthernet8/3@Cisco_10.114.8.1|Unknown|1000000000|6|00:01:c9:df:05:f6|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
34|187220|172.25.124.244|181181_10.114.8.1|60|Vlan1|Vlan1@Cisco_10.114.8.1|Unknown|1000000000|53|\N|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
