1|cevCat6kWsSup720
2|cevCpuCat6kWsSup720RP
3|cevCat6kMWAMBlade
4|cevCat6kWsx6148Rj45
5|cevCat6kWsf6kVpwr
6|cevCat6kWsSup720Base
7|cevCat6kWsf6kpfc3b
8|cevCpuCat6kWsSup720SP
9|cevCat6kWsSvcFwm1
10|zeroDotZero
11|cevCat6kWsc6kvtt
12|cevClk7600
13|cevIM1p10GeXfp
14|cevXFR10gMMSR
15|cevModuleASR903RSP1A
16|cevSFP1000BaseSx
17|cevSFP1000BaseT
18|cevIM8pGeSFP
19|cevChassisASR901AC10G
20|cevModuleME3600X24FS
21|cevXFPmmsr
22|cevModuleA9KRsp440Tr
23|cevModuleASR9KHost
24|cevModuleA9KMOD80TR
25|cevMpa4X10GE
26|cevMpa20X1GE
27|cevModuleASR9KLCDb
28|cevXFPUnknown
29|cevModuleA9K4x10GEB
30|cevChassisASR901
31|cevModuleME3800X24FS
32|cevModuleCat385048P
33|cevC3KxNm10g
