19|172.25.124.244|2|188243|181182|Module|module 5|WS-SUP720-3B 2 ports Supervisor Engine 720 Rev. 5.3|181182_10.114.8.2|Module|cevCat6kWsSup720Base|Cisco Systems|SAL1104F8H1|WS-SUP720-3B|V03|Unknown|ok|0|2|0|\N|1|1899-12-31|2199-12-31
20|172.25.124.244|2|188245|181182|Module|msfc sub-module of 5|WS-SUP720 MSFC3 Daughterboard Rev. 2.6|181182_10.114.8.2|Module|cevCat6kWsSup720|Cisco Systems|SAL1104F9KU|WS-SUP720|Unknown|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
21|172.25.124.244|2|188246|181182|Module|CPU of Routing Processor 5|CPU of Routing Processor|181182_10.114.8.2|Module|cevCpuCat6kWsSup720RP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
22|172.25.124.244|2|188248|181182|Module|switching engine sub-module of 5|WS-F6K-PFC3B Policy Feature Card 3 Rev. 2.3|181182_10.114.8.2|Module|cevCat6kWsf6kpfc3b|Cisco Systems|SAL1104F9TX|WS-F6K-PFC3B|V01|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
23|172.25.124.244|2|188249|181182|Module|CPU of Switching Processor 5|CPU of Switching Processor|181182_10.114.8.2|Module|cevCpuCat6kWsSup720SP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
24|172.25.124.244|2|188252|181182|Module|module 7|WS-SVC-AON-1-K9 3 ports AON Module Rev. 2.0|181182_10.114.8.2|Module|zeroDotZero|Cisco Systems|SAD10300548|WS-SVC-AON-1-K9|V02|Unknown|other|0|0|0|\N|1|1899-12-31|2199-12-31
25|172.25.124.244|2|188254|181182|Module|module 8|WS-SVC-FWM-1 6 ports Firewall Module Rev. 3.0|181182_10.114.8.2|Module|cevCat6kWsSvcFwm1|Cisco Systems|SAD08330EVK|WS-SVC-FWM-1|Unknown|Unknown|ok|0|6|0|\N|1|1899-12-31|2199-12-31
26|172.25.124.244|2|188258|181182|Module|WS-C6K-VTT 1|VTT FRU 1|181182_10.114.8.2|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302XG|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
27|172.25.124.244|2|188260|181182|Module|WS-C6K-VTT 2|VTT FRU 2|181182_10.114.8.2|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302JW|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
28|172.25.124.244|2|188262|181182|Module|WS-C6K-VTT 3|VTT FRU 3|181182_10.114.8.2|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302YF|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
