date_key,year,week_number,month_number,day_in_month,quarter_number,day_end_date,year_for_week
138,2015,2,1,8,1,2015-01-08,2015
139,2015,2,1,9,1,2015-01-09,2015
140,2015,2,1,10,1,2015-01-10,2015
141,2015,2,1,11,1,2015-01-11,2015
142,2015,3,1,12,1,2015-01-12,2015
143,2015,3,1,13,1,2015-01-13,2015
144,2015,3,1,14,1,2015-01-14,2015
145,2015,3,1,15,1,2015-01-15,2015
146,2015,3,1,16,1,2015-01-16,2015
147,2015,3,1,17,1,2015-01-17,2015
148,2015,3,1,18,1,2015-01-18,2015
149,2015,4,1,19,1,2015-01-19,2015
150,2015,4,1,20,1,2015-01-20,2015
151,2015,4,1,21,1,2015-01-21,2015
152,2015,4,1,22,1,2015-01-22,2015
153,2015,4,1,23,1,2015-01-23,2015
154,2015,4,1,24,1,2015-01-24,2015
155,2015,4,1,25,1,2015-01-25,2015
156,2015,5,1,26,1,2015-01-26,2015
157,2015,5,1,27,1,2015-01-27,2015
158,2015,5,1,28,1,2015-01-28,2015
159,2015,5,1,29,1,2015-01-29,2015
160,2015,5,1,30,1,2015-01-30,2015
161,2015,5,1,31,1,2015-01-31,2015
162,2015,5,2,1,1,2015-02-01,2015
163,2015,6,2,2,1,2015-02-02,2015
164,2015,6,2,3,1,2015-02-03,2015
165,2015,6,2,4,1,2015-02-04,2015
166,2015,6,2,5,1,2015-02-05,2015
167,2015,6,2,6,1,2015-02-06,2015
168,2015,6,2,7,1,2015-02-07,2015
169,2015,6,2,8,1,2015-02-08,2015
170,2015,7,2,9,1,2015-02-09,2015
171,2015,7,2,10,1,2015-02-10,2015
172,2015,7,2,11,1,2015-02-11,2015
173,2015,7,2,12,1,2015-02-12,2015
174,2015,7,2,13,1,2015-02-13,2015
175,2015,7,2,14,1,2015-02-14,2015
176,2015,7,2,15,1,2015-02-15,2015
177,2015,8,2,16,1,2015-02-16,2015
178,2015,8,2,17,1,2015-02-17,2015
179,2015,8,2,18,1,2015-02-18,2015
180,2015,8,2,19,1,2015-02-19,2015
181,2015,8,2,20,1,2015-02-20,2015
182,2015,8,2,21,1,2015-02-21,2015
183,2015,8,2,22,1,2015-02-22,2015
184,2015,9,2,23,1,2015-02-23,2015
185,2015,9,2,24,1,2015-02-24,2015
186,2015,9,2,25,1,2015-02-25,2015
187,2015,9,2,26,1,2015-02-26,2015
188,2015,9,2,27,1,2015-02-27,2015
189,2015,9,2,28,1,2015-02-28,2015
190,2015,9,3,1,1,2015-03-01,2015
191,2015,10,3,2,1,2015-03-02,2015
192,2015,10,3,3,1,2015-03-03,2015
193,2015,10,3,4,1,2015-03-04,2015
194,2015,10,3,5,1,2015-03-05,2015
195,2015,10,3,6,1,2015-03-06,2015
196,2015,10,3,7,1,2015-03-07,2015
197,2015,10,3,8,1,2015-03-08,2015
198,2015,11,3,9,1,2015-03-09,2015
199,2015,11,3,10,1,2015-03-10,2015
200,2015,11,3,11,1,2015-03-11,2015
201,2015,11,3,12,1,2015-03-12,2015
202,2015,11,3,13,1,2015-03-13,2015
203,2015,11,3,14,1,2015-03-14,2015
204,2015,11,3,15,1,2015-03-15,2015
205,2015,12,3,16,1,2015-03-16,2015
206,2015,12,3,17,1,2015-03-17,2015
207,2015,12,3,18,1,2015-03-18,2015
208,2015,12,3,19,1,2015-03-19,2015
209,2015,12,3,20,1,2015-03-20,2015
210,2015,12,3,21,1,2015-03-21,2015
211,2015,12,3,22,1,2015-03-22,2015
212,2015,13,3,23,1,2015-03-23,2015
213,2015,13,3,24,1,2015-03-24,2015
214,2015,13,3,25,1,2015-03-25,2015
215,2015,13,3,26,1,2015-03-26,2015
216,2015,13,3,27,1,2015-03-27,2015
217,2015,13,3,28,1,2015-03-28,2015
218,2015,13,3,29,1,2015-03-29,2015
219,2015,14,3,30,1,2015-03-30,2015
220,2015,14,3,31,1,2015-03-31,2015
221,2015,14,4,1,2,2015-04-01,2015
222,2015,14,4,2,2,2015-04-02,2015
223,2015,14,4,3,2,2015-04-03,2015
224,2015,14,4,4,2,2015-04-04,2015
225,2015,14,4,5,2,2015-04-05,2015
226,2015,15,4,6,2,2015-04-06,2015
227,2015,15,4,7,2,2015-04-07,2015
228,2015,15,4,8,2,2015-04-08,2015
229,2015,15,4,9,2,2015-04-09,2015
230,2015,15,4,10,2,2015-04-10,2015
231,2015,15,4,11,2,2015-04-11,2015
232,2015,15,4,12,2,2015-04-12,2015
233,2015,16,4,13,2,2015-04-13,2015
234,2015,16,4,14,2,2015-04-14,2015
235,2015,16,4,15,2,2015-04-15,2015
236,2015,16,4,16,2,2015-04-16,2015
237,2015,16,4,17,2,2015-04-17,2015
238,2015,16,4,18,2,2015-04-18,2015
239,2015,16,4,19,2,2015-04-19,2015
240,2015,17,4,20,2,2015-04-20,2015
241,2015,17,4,21,2,2015-04-21,2015
242,2015,17,4,22,2,2015-04-22,2015
243,2015,17,4,23,2,2015-04-23,2015
244,2015,17,4,24,2,2015-04-24,2015
245,2015,17,4,25,2,2015-04-25,2015
246,2015,17,4,26,2,2015-04-26,2015
247,2015,18,4,27,2,2015-04-27,2015
248,2015,18,4,28,2,2015-04-28,2015
249,2015,18,4,29,2,2015-04-29,2015
250,2015,18,4,30,2,2015-04-30,2015
251,2015,18,5,1,2,2015-05-01,2015
252,2015,18,5,2,2,2015-05-02,2015
253,2015,18,5,3,2,2015-05-03,2015
254,2015,19,5,4,2,2015-05-04,2015
255,2015,19,5,5,2,2015-05-05,2015
256,2015,19,5,6,2,2015-05-06,2015
257,2015,19,5,7,2,2015-05-07,2015
258,2015,19,5,8,2,2015-05-08,2015
259,2015,19,5,9,2,2015-05-09,2015
260,2015,19,5,10,2,2015-05-10,2015
261,2015,20,5,11,2,2015-05-11,2015
262,2015,20,5,12,2,2015-05-12,2015
263,2015,20,5,13,2,2015-05-13,2015
264,2015,20,5,14,2,2015-05-14,2015
265,2015,20,5,15,2,2015-05-15,2015
266,2015,20,5,16,2,2015-05-16,2015
267,2015,20,5,17,2,2015-05-17,2015
268,2015,21,5,18,2,2015-05-18,2015
269,2015,21,5,19,2,2015-05-19,2015
270,2015,21,5,20,2,2015-05-20,2015
271,2015,21,5,21,2,2015-05-21,2015
272,2015,21,5,22,2,2015-05-22,2015
273,2015,21,5,23,2,2015-05-23,2015
274,2015,21,5,24,2,2015-05-24,2015
275,2015,22,5,25,2,2015-05-25,2015
276,2015,22,5,26,2,2015-05-26,2015
277,2015,22,5,27,2,2015-05-27,2015
278,2015,22,5,28,2,2015-05-28,2015
279,2015,22,5,29,2,2015-05-29,2015
280,2015,22,5,30,2,2015-05-30,2015
281,2015,22,5,31,2,2015-05-31,2015
282,2015,23,6,1,2,2015-06-01,2015
283,2015,23,6,2,2,2015-06-02,2015
284,2015,23,6,3,2,2015-06-03,2015
285,2015,23,6,4,2,2015-06-04,2015
286,2015,23,6,5,2,2015-06-05,2015
287,2015,23,6,6,2,2015-06-06,2015
288,2015,23,6,7,2,2015-06-07,2015
289,2015,24,6,8,2,2015-06-08,2015
290,2015,24,6,9,2,2015-06-09,2015
291,2015,24,6,10,2,2015-06-10,2015
292,2015,24,6,11,2,2015-06-11,2015
293,2015,24,6,12,2,2015-06-12,2015
294,2015,24,6,13,2,2015-06-13,2015
295,2015,24,6,14,2,2015-06-14,2015
296,2015,25,6,15,2,2015-06-15,2015
297,2015,25,6,16,2,2015-06-16,2015
298,2015,25,6,17,2,2015-06-17,2015
299,2015,25,6,18,2,2015-06-18,2015
300,2015,25,6,19,2,2015-06-19,2015
301,2015,25,6,20,2,2015-06-20,2015
302,2015,25,6,21,2,2015-06-21,2015
303,2015,26,6,22,2,2015-06-22,2015
304,2015,26,6,23,2,2015-06-23,2015
305,2015,26,6,24,2,2015-06-24,2015
306,2015,26,6,25,2,2015-06-25,2015
307,2015,26,6,26,2,2015-06-26,2015
308,2015,26,6,27,2,2015-06-27,2015
309,2015,26,6,28,2,2015-06-28,2015
